1|1|Mascotas
6|2|Mascotas|Conejos (NO USAR)
438|2|Cuidado Personal y Bienestar|Salud y Primeros Auxilios
439|3|Cuidado Personal y Bienestar|Salud y Primeros Auxilios|Agua Oxigenada
440|3|Cuidado Personal y Bienestar|Salud y Primeros Auxilios|Alcohol Líquido
441|3|Cuidado Personal y Bienestar|Salud y Primeros Auxilios|Gotas para Ojos
442|3|Cuidado Personal y Bienestar|Salud y Primeros Auxilios|Kit de Primeros Auxilios
443|3|Cuidado Personal y Bienestar|Salud y Primeros Auxilios|Lentes
444|3|Cuidado Personal y Bienestar|Salud y Primeros Auxilios|Termómetros
2017|3|Cuidado Personal y Bienestar|Salud y Primeros Auxilios|Monitores De Presión
2018|3|Cuidado Personal y Bienestar|Salud y Primeros Auxilios|Nebulizadores
2019|3|Cuidado Personal y Bienestar|Salud y Primeros Auxilios|Oxímetros
2020|3|Cuidado Personal y Bienestar|Salud y Primeros Auxilios|Esterilizadores
2021|3|Cuidado Personal y Bienestar|Salud y Primeros Auxilios|Vitaminas Y Medicamentos
445|2|Cuidado Personal y Bienestar|Spa, Masaje y Relajación
446|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Accesorios de Spa
447|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Aceite para Aromaterapia
448|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Artículos para Masaje
449|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Burbujas para Tinas
450|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Cojines Eléctricos
451|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Difusores Aromáticos
452|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Fundas de Gel
453|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Masajeadores
454|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Mascarilla de Spa
455|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Sales para Tina
456|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Sonidoterapia
457|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Tina para Pies
458|3|Cuidado Personal y Bienestar|Spa, Masaje y Relajación|Toallas Refrescantes de Spa
459|1|Autos y Motos
460|2|Autos y Motos|Aceites y Lubricantes
461|3|Autos y Motos|Aceites y Lubricantes|Líquido Hidráulico
462|3|Autos y Motos|Aceites y Lubricantes|Líquido para Caja
463|3|Autos y Motos|Aceites y Lubricantes|Aceites
464|2|Autos y Motos|Decoración de Autos
465|3|Autos y Motos|Decoración de Autos|Cintas Decorativas
466|3|Autos y Motos|Decoración de Autos|Colas de Escape
467|3|Autos y Motos|Decoración de Autos|Entradas de Aire
468|2|Autos y Motos|Iluminación
469|3|Autos y Motos|Iluminación|Bombillas
470|3|Autos y Motos|Iluminación|Lamparas
471|3|Autos y Motos|Iluminación|Neblineras
472|3|Autos y Motos|Iluminación|Luces Decorativas
473|2|Autos y Motos|Mantenimiento
474|3|Autos y Motos|Mantenimiento|Aditivos
475|3|Autos y Motos|Mantenimiento|Desengrasantes
476|3|Autos y Motos|Mantenimiento|Filtros
477|3|Autos y Motos|Mantenimiento|Grasas
478|3|Autos y Motos|Mantenimiento|Líquidos de Freno
479|3|Autos y Motos|Mantenimiento|Quita Oxido
480|3|Autos y Motos|Mantenimiento|Refrigerantes
481|3|Autos y Motos|Mantenimiento|Reparadores
482|2|Autos y Motos|Accesorios para Autos
483|3|Autos y Motos|Accesorios para Autos|Acc. Telefono y MP3
484|3|Autos y Motos|Accesorios para Autos|Antenas
485|3|Autos y Motos|Accesorios para Autos|Calentadores
486|3|Autos y Motos|Accesorios para Autos|Cobertores Asientos
487|3|Autos y Motos|Accesorios para Autos|Cubre Cinturones
488|3|Autos y Motos|Accesorios para Autos|Cubre Palanca
489|3|Autos y Motos|Accesorios para Autos|Cubre Volantes
490|3|Autos y Motos|Accesorios para Autos|Encendedor
491|3|Autos y Motos|Accesorios para Autos|Espejos
492|3|Autos y Motos|Accesorios para Autos|Insignias
493|3|Autos y Motos|Accesorios para Autos|Organizadores
494|3|Autos y Motos|Accesorios para Autos|Pedales
495|3|Autos y Motos|Accesorios para Autos|Porta Vasos
496|3|Autos y Motos|Accesorios para Autos|Portaplacas
497|3|Autos y Motos|Accesorios para Autos|Protector Bumper
498|3|Autos y Motos|Accesorios para Autos|Protector Puerta
499|3|Autos y Motos|Accesorios para Autos|Relojes Autos
500|3|Autos y Motos|Accesorios para Autos|Tapasoles
501|3|Autos y Motos|Accesorios para Autos|Tapones y Tuercas para Llantas
502|3|Autos y Motos|Accesorios para Autos|Ventiladores
503|3|Autos y Motos|Accesorios para Autos|Cobertores
504|3|Autos y Motos|Accesorios para Autos|Alfombras
584|3|Autos y Motos|Accesorios para Autos|Pinturas en Spray
2011|3|Autos y Motos|Accesorios para Autos|Amplificadores
2012|3|Autos y Motos|Accesorios para Autos|Bocinas
505|2|Autos y Motos|Repuestos de Autos
506|3|Autos y Motos|Repuestos de Autos|Baterías de Autos
507|3|Autos y Motos|Repuestos de Autos|Bujias
508|3|Autos y Motos|Repuestos de Autos|Cargadores/Jump Starters/Mantenedores
509|3|Autos y Motos|Repuestos de Autos|Herramientas y Repuestos de Baterías
510|3|Autos y Motos|Repuestos de Autos|Llantas de Autos
511|3|Autos y Motos|Repuestos de Autos|Pistones
512|3|Autos y Motos|Repuestos de Autos|Plumillas
513|3|Autos y Motos|Repuestos de Autos|Químicos Baterías
514|3|Autos y Motos|Repuestos de Autos|Tapones
515|3|Autos y Motos|Repuestos de Autos|Tuercas de Seguridad
516|3|Autos y Motos|Repuestos de Autos|Valvulas
517|3|Autos y Motos|Repuestos de Autos|Conectores
518|3|Autos y Motos|Repuestos de Autos|Fusibles
519|2|Autos y Motos|Repuestos de Motos
520|3|Autos y Motos|Repuestos de Motos|Baterías de Motos
521|3|Autos y Motos|Repuestos de Motos|Bujias
522|3|Autos y Motos|Repuestos de Motos|Llantas y Tubos
523|3|Autos y Motos|Repuestos de Motos|Luces
524|2|Autos y Motos|Accesorios para Motos
525|3|Autos y Motos|Accesorios para Motos|Alarmas
526|3|Autos y Motos|Accesorios para Motos|Cobertores
527|3|Autos y Motos|Accesorios para Motos|Mangos Cubre Volante
528|3|Autos y Motos|Accesorios para Motos|Parrilla
529|3|Autos y Motos|Accesorios para Motos|Protector
530|3|Autos y Motos|Accesorios para Motos|Tacos
531|2|Autos y Motos|Accesorios para el Motociclista
532|3|Autos y Motos|Accesorios para el Motociclista|Cascos
533|3|Autos y Motos|Accesorios para el Motociclista|Chumpas
534|3|Autos y Motos|Accesorios para el Motociclista|Guantes
535|3|Autos y Motos|Accesorios para el Motociclista|Impermeables
2013|3|Autos y Motos|Accesorios para el Motociclista|Bluetooth
536|2|Autos y Motos|Hidrolavadoras y Accesorios
537|3|Autos y Motos|Hidrolavadoras y Accesorios|Accesorios Para Hidrolavadoras
538|3|Autos y Motos|Hidrolavadoras y Accesorios|Hidrolavadoras
539|2|Autos y Motos|Herramientas
540|3|Autos y Motos|Herramientas|Abrazaderas
541|3|Autos y Motos|Herramientas|Acc. Pulidoras Autos
542|3|Autos y Motos|Herramientas|Aceiteras
543|3|Autos y Motos|Herramientas|Adaptador de Calibrador
544|3|Autos y Motos|Herramientas|Cables pasa Corriente
545|3|Autos y Motos|Herramientas|Calibradores
546|3|Autos y Motos|Herramientas|Compresores
547|3|Autos y Motos|Herramientas|Embudos
548|3|Autos y Motos|Herramientas|Engrasadoras
549|3|Autos y Motos|Herramientas|Guantes
550|3|Autos y Motos|Herramientas|Infladores
551|3|Autos y Motos|Herramientas|Kit de Reparación Llantas
552|3|Autos y Motos|Herramientas|Llaves de Chucho
553|3|Autos y Motos|Herramientas|Llaves Filtros
554|3|Autos y Motos|Herramientas|Mangueras Autos
555|3|Autos y Motos|Herramientas|Pulidoras Autos
556|3|Autos y Motos|Herramientas|Tambos Gasolina
557|3|Autos y Motos|Herramientas|Termómetros Autos
558|3|Autos y Motos|Herramientas|Torres Autos
559|3|Autos y Motos|Herramientas|Trickets
560|2|Autos y Motos|Portaequipaje y Carga
561|3|Autos y Motos|Portaequipaje y Carga|Amarras
562|3|Autos y Motos|Portaequipaje y Carga|Cargo Bag/Red de Carga
563|3|Autos y Motos|Portaequipaje y Carga|Cuerdas
564|3|Autos y Motos|Portaequipaje y Carga|Ganchos Autos
565|3|Autos y Motos|Portaequipaje y Carga|Remolque
566|3|Autos y Motos|Portaequipaje y Carga|Transporte de Carga
567|2|Autos y Motos|Seguridad
568|3|Autos y Motos|Seguridad|Candados
569|3|Autos y Motos|Seguridad|Cintas Reflectivas
570|3|Autos y Motos|Seguridad|Conos
571|3|Autos y Motos|Seguridad|Reflectores Plásticos
572|3|Autos y Motos|Seguridad|Triángulos
573|2|Autos y Motos|Pegamentos, Selladores y Silicones
574|3|Autos y Motos|Pegamentos, Selladores y Silicones|Selladores
575|3|Autos y Motos|Pegamentos, Selladores y Silicones|Pegamentos
576|3|Autos y Motos|Pegamentos, Selladores y Silicones|Silicones
577|2|Autos y Motos|Limpieza y Cuidado
578|3|Autos y Motos|Limpieza y Cuidado|Aromatizantes
579|3|Autos y Motos|Limpieza y Cuidado|Ceras y Pulidores
580|3|Autos y Motos|Limpieza y Cuidado|Limpiadores
581|3|Autos y Motos|Limpieza y Cuidado|Shampoo
582|3|Autos y Motos|Limpieza y Cuidado|Esponjas
583|3|Autos y Motos|Limpieza y Cuidado|Toallas
585|1|Ropa, Calzado y Accesorios
586|2|Ropa, Calzado y Accesorios|Accesorios
587|3|Ropa, Calzado y Accesorios|Accesorios|Sombrillas
588|3|Ropa, Calzado y Accesorios|Accesorios|Gorros y Sombreros
589|3|Ropa, Calzado y Accesorios|Accesorios|Baberos
590|3|Ropa, Calzado y Accesorios|Accesorios|Lentes
591|3|Ropa, Calzado y Accesorios|Accesorios|Diademas, Listones y Ganchos
592|3|Ropa, Calzado y Accesorios|Accesorios|Guantes
593|3|Ropa, Calzado y Accesorios|Accesorios|Saquitos para Dormir
594|2|Ropa, Calzado y Accesorios|Calzado
595|3|Ropa, Calzado y Accesorios|Calzado|Botas
596|3|Ropa, Calzado y Accesorios|Calzado|Pantuflas
597|3|Ropa, Calzado y Accesorios|Calzado|Sandalias
598|3|Ropa, Calzado y Accesorios|Calzado|Zapatos
599|2|Ropa, Calzado y Accesorios|Ropa Interior
600|3|Ropa, Calzado y Accesorios|Ropa Interior|Calcetas
601|3|Ropa, Calzado y Accesorios|Ropa Interior|Bodies y Camisetas
602|2|Ropa, Calzado y Accesorios|Ropa
603|3|Ropa, Calzado y Accesorios|Ropa|Capas
604|3|Ropa, Calzado y Accesorios|Ropa|Pijamas
605|3|Ropa, Calzado y Accesorios|Ropa|Trajes de Baño
606|3|Ropa, Calzado y Accesorios|Ropa|Conjuntos
607|3|Ropa, Calzado y Accesorios|Ropa|Accesorios Varios
1954|2|Ropa, Calzado y Accesorios|Guatemala Nuestra
1955|3|Ropa, Calzado y Accesorios|Guatemala Nuestra|Bolsas
1956|3|Ropa, Calzado y Accesorios|Guatemala Nuestra|Bufandas y Chalinas
1957|3|Ropa, Calzado y Accesorios|Guatemala Nuestra|Monederos
1958|3|Ropa, Calzado y Accesorios|Guatemala Nuestra|Morrales
1959|3|Ropa, Calzado y Accesorios|Guatemala Nuestra|Sombreros
1960|3|Ropa, Calzado y Accesorios|Guatemala Nuestra|Vestuario y Zapatos
1962|3|Ropa, Calzado y Accesorios|Guatemala Nuestra|Joyas
1963|3|Ropa, Calzado y Accesorios|Guatemala Nuestra|Llaveros
608|1|Limpieza y Lavandería
609|2|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza
610|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Cepillos y Escobas
611|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Squeegees y Esponjas
612|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Palas
613|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Mopas y Repuestos
614|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Trapeadores
615|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Guantes
616|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Bolsas
617|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Organizadores para Articulos de Limpieza
618|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Cubetas y Carretas
619|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Plumeros
620|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Atomizadores
621|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Dispensadores de Líquidos
622|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Rodillos Quitapelusas
623|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Toallas y Paños de Limpieza
1999|3|Limpieza y Lavandería|Utensilios y Accesorios de Limpieza|Máquinas Desinfectantes
624|2|Limpieza y Lavandería|Control de Plagas e Insecticidas
625|3|Limpieza y Lavandería|Control de Plagas e Insecticidas|Control de Plagas
626|3|Limpieza y Lavandería|Control de Plagas e Insecticidas|Insecticidas Caseros
627|3|Limpieza y Lavandería|Control de Plagas e Insecticidas|Repelentes
628|3|Limpieza y Lavandería|Control de Plagas e Insecticidas|Matamoscas
629|2|Limpieza y Lavandería|Dispensadores e Insumos Papel
630|3|Limpieza y Lavandería|Dispensadores e Insumos Papel|Papel Higiénico y Mayordomo
631|3|Limpieza y Lavandería|Dispensadores e Insumos Papel|Dispensadores de Papel
632|3|Limpieza y Lavandería|Dispensadores e Insumos Papel|Productos de Papel
633|2|Limpieza y Lavandería|Productos Químicos y Limpiadores
634|3|Limpieza y Lavandería|Productos Químicos y Limpiadores|Desinfectantes
635|3|Limpieza y Lavandería|Productos Químicos y Limpiadores|Abrillantadores y Selladores
636|3|Limpieza y Lavandería|Productos Químicos y Limpiadores|Líquido para Planchar
637|3|Limpieza y Lavandería|Productos Químicos y Limpiadores|Suavizantes para Ropa
638|3|Limpieza y Lavandería|Productos Químicos y Limpiadores|Quitamanchas
639|3|Limpieza y Lavandería|Productos Químicos y Limpiadores|Jabones y Detergentes
640|3|Limpieza y Lavandería|Productos Químicos y Limpiadores|Limpiadores
641|3|Limpieza y Lavandería|Productos Químicos y Limpiadores|Wipes
1998|3|Limpieza y Lavandería|Productos Químicos y Limpiadores|Alcohol
642|2|Limpieza y Lavandería|Desodorantes y Aromatizantes
643|2|Limpieza y Lavandería|Deshumidificadores y Repuestos
644|3|Limpieza y Lavandería|Deshumidificadores y Repuestos|Deshumidificadores
645|3|Limpieza y Lavandería|Deshumidificadores y Repuestos|Repuestos para Deshumidificadores
646|2|Limpieza y Lavandería|Basureros y Reciclaje
647|3|Limpieza y Lavandería|Basureros y Reciclaje|Basurero para Pañales y Accesorios
648|3|Limpieza y Lavandería|Basureros y Reciclaje|Basureros
649|2|Limpieza y Lavandería|Limpieza y Cuidado de Calzado
650|3|Limpieza y Lavandería|Limpieza y Cuidado de Calzado|Protectores de Calzado
651|1|Cocina
652|2|Cocina|Almacenamiento y Despensa
653|3|Cocina|Almacenamiento y Despensa|Clips para Bolsas
654|3|Cocina|Almacenamiento y Despensa|Paneras
655|3|Cocina|Almacenamiento y Despensa|Protectores de Alimentos
656|3|Cocina|Almacenamiento y Despensa|Retenedor
657|2|Cocina|Baterías de Cocina
658|2|Cocina|Contenedores y Frascos
659|3|Cocina|Contenedores y Frascos|Almacenadores
660|3|Cocina|Contenedores y Frascos|Especieros
661|3|Cocina|Contenedores y Frascos|Frascos y Botes
662|2|Cocina|Cuchillos y Accesorios
663|3|Cocina|Cuchillos y Accesorios|Afiladores y Chairas
664|3|Cocina|Cuchillos y Accesorios|Cuchillos
665|3|Cocina|Cuchillos y Accesorios|Set de Cuchillos
666|3|Cocina|Cuchillos y Accesorios|Tijeras
667|2|Cocina|Filtros de Agua y Repuestos
668|2|Cocina|Libros de Recetas
669|2|Cocina|Moldes y Bandejas
670|3|Cocina|Moldes y Bandejas|Bandejas
671|3|Cocina|Moldes y Bandejas|Moldes
672|3|Cocina|Moldes y Bandejas|Papel para Hornear
673|3|Cocina|Moldes y Bandejas|Paveras
674|3|Cocina|Moldes y Bandejas|Recipientes para Microondas
675|3|Cocina|Moldes y Bandejas|Refractarios
676|3|Cocina|Moldes y Bandejas|Rostizador/Asador
677|3|Cocina|Moldes y Bandejas|Moldes Desechables
678|2|Cocina|Repostería
679|3|Cocina|Repostería|Comestibles para Decorar
680|3|Cocina|Repostería|Mangas, Dullas y Coplas
681|3|Cocina|Repostería|Kits de Decoración
682|3|Cocina|Repostería|Marcadores
683|3|Cocina|Repostería|Palillos
684|3|Cocina|Repostería|Pistolas
685|3|Cocina|Repostería|Stencil
686|3|Cocina|Repostería|Velas para Cumpleaños
687|3|Cocina|Repostería|Bases y Porta Cupcakes
688|3|Cocina|Repostería|Bases y Porta Pasteles
689|3|Cocina|Repostería|Bolillos
690|3|Cocina|Repostería|Cernidores
691|3|Cocina|Repostería|Cortadores para Repostería
692|3|Cocina|Repostería|Empaques de Repostería
693|3|Cocina|Repostería|Espátulas y Brochas de Repostería
694|3|Cocina|Repostería|Pilares
695|2|Cocina|Sartenes, Ollas y Mas
696|3|Cocina|Sartenes, Ollas y Mas|Cazos
697|3|Cocina|Sartenes, Ollas y Mas|Olla de Fondue y Repuestos
698|3|Cocina|Sartenes, Ollas y Mas|Olla de Presión y Repuestos
699|3|Cocina|Sartenes, Ollas y Mas|Ollas
700|3|Cocina|Sartenes, Ollas y Mas|Planchas/Parrillas/Comales
701|3|Cocina|Sartenes, Ollas y Mas|Sartenes
702|3|Cocina|Sartenes, Ollas y Mas|Vaporeras
703|3|Cocina|Sartenes, Ollas y Mas|Wok
704|2|Cocina|Textiles para Cocina
70|3|Cocina|Textiles para Cocina|Toallas de Cocina
705|3|Cocina|Textiles para Cocina|Guantes y Agarradores
706|3|Cocina|Textiles para Cocina|Cobertor de Aparato de Cocina
707|3|Cocina|Textiles para Cocina|Gabachas
708|2|Cocina|Utensilios para Cocinar
709|3|Cocina|Utensilios para Cocinar|Abre Nueces
710|3|Cocina|Utensilios para Cocinar|Abrelatas
711|3|Cocina|Utensilios para Cocinar|Bandejas para Hacer Hielo
712|3|Cocina|Utensilios para Cocinar|Batidores
713|3|Cocina|Utensilios para Cocinar|Bowls de Cocina
714|3|Cocina|Utensilios para Cocinar|Cepillos
715|3|Cocina|Utensilios para Cocinar|Cortador de Frutas y Verduras
716|3|Cocina|Utensilios para Cocinar|Cuchara para Helado
717|3|Cocina|Utensilios para Cocinar|Cucharones
718|3|Cocina|Utensilios para Cocinar|Descansa Cucharas
719|3|Cocina|Utensilios para Cocinar|Embudos
720|3|Cocina|Utensilios para Cocinar|Encendedores
721|3|Cocina|Utensilios para Cocinar|Escurridores y Coladores
722|3|Cocina|Utensilios para Cocinar|Espátulas
723|3|Cocina|Utensilios para Cocinar|Exprimidores
724|3|Cocina|Utensilios para Cocinar|Herramientas para Mariscos
725|3|Cocina|Utensilios para Cocinar|Inyector/Succionador Salsas
726|3|Cocina|Utensilios para Cocinar|Pinchos
727|3|Cocina|Utensilios para Cocinar|Separador de Huevos
728|3|Cocina|Utensilios para Cocinar|Tablas
729|3|Cocina|Utensilios para Cocinar|Timer
730|3|Cocina|Utensilios para Cocinar|Utensilios en Set
731|3|Cocina|Utensilios para Cocinar|Utensilios Sueltos
732|3|Cocina|Utensilios para Cocinar|Herramientas Pasta y Pizza
733|3|Cocina|Utensilios para Cocinar|Machacadores
734|3|Cocina|Utensilios para Cocinar|Mezcladores de Aderezo
735|3|Cocina|Utensilios para Cocinar|Molinos
736|3|Cocina|Utensilios para Cocinar|Picadores
737|3|Cocina|Utensilios para Cocinar|Mandolinas y Rebanadores
738|3|Cocina|Utensilios para Cocinar|Peladores
739|3|Cocina|Utensilios para Cocinar|Ralladores
740|3|Cocina|Utensilios para Cocinar|Separador de Grasa
741|2|Cocina|Decoración
742|3|Cocina|Decoración|Imanes
743|2|Cocina|Utensilios para Medir
744|3|Cocina|Utensilios para Medir|Balanzas de Cocina
745|3|Cocina|Utensilios para Medir|Cucharas Medidoras
746|3|Cocina|Utensilios para Medir|Tazas Medidoras
747|3|Cocina|Utensilios para Medir|Termometros
748|2|Cocina|Termos y Pachones
749|3|Cocina|Termos y Pachones|Pachones
750|3|Cocina|Termos y Pachones|Termos
754|1|Mesa
751|2|Mesa|Artículos de Café y Té
752|3|Mesa|Artículos de Café y Té|Accesorios para Teteras
753|3|Mesa|Artículos de Café y Té|Cajas para Té
765|3|Mesa|Artículos de Café y Té|Cajas para Café
766|3|Mesa|Artículos de Café y Té|Repuestos para Cafeteras y Teteras
767|3|Mesa|Artículos de Café y Té|Set de Café
768|3|Mesa|Artículos de Café y Té|Set de Té
769|3|Mesa|Artículos de Café y Té|Teteras y Cafeteras
755|2|Mesa|Artículos de Bar
756|3|Mesa|Artículos de Bar|Accesorios para Bar
757|3|Mesa|Artículos de Bar|Decantadores
758|3|Mesa|Artículos de Bar|Destapadores y Sacacorchos
759|3|Mesa|Artículos de Bar|Hieleras
760|3|Mesa|Artículos de Bar|Licoreras
761|3|Mesa|Artículos de Bar|Mezcladores
762|3|Mesa|Artículos de Bar|Pinzas para Hielo
763|3|Mesa|Artículos de Bar|Tapones para Botella
764|3|Mesa|Artículos de Bar|Vineras
770|2|Mesa|Complementos de Mesa
771|3|Mesa|Complementos de Mesa|Aceiteros y Vinagreras
772|3|Mesa|Complementos de Mesa|Aisladores
773|3|Mesa|Complementos de Mesa|Canastas
774|3|Mesa|Complementos de Mesa|Cremera y Azucarera
775|3|Mesa|Complementos de Mesa|Desayunadores
776|3|Mesa|Complementos de Mesa|Galleteros
777|3|Mesa|Complementos de Mesa|Latas
778|3|Mesa|Complementos de Mesa|Mantequilleras
779|3|Mesa|Complementos de Mesa|Platos Base
780|3|Mesa|Complementos de Mesa|Porta Palillos
781|3|Mesa|Complementos de Mesa|Porta Tazas
782|3|Mesa|Complementos de Mesa|Queseras
783|3|Mesa|Complementos de Mesa|Saleros y Pimenteros
784|3|Mesa|Complementos de Mesa|Servilleteros
785|3|Mesa|Complementos de Mesa|Tortilleros
786|3|Mesa|Complementos de Mesa|Portavasos
787|3|Mesa|Complementos de Mesa|Bandejas para Servir
788|3|Mesa|Complementos de Mesa|Boquiteros
789|3|Mesa|Complementos de Mesa|Ensaladeras
790|3|Mesa|Complementos de Mesa|Fruteros
791|3|Mesa|Complementos de Mesa|Fuentes
792|3|Mesa|Complementos de Mesa|Pasteleros
793|3|Mesa|Complementos de Mesa|Pinzas
794|3|Mesa|Complementos de Mesa|Platos para Servir
795|3|Mesa|Complementos de Mesa|Tazones
796|3|Mesa|Complementos de Mesa|Tenedor de Carnes
797|2|Mesa|Cubertería
798|3|Mesa|Cubertería|Porta Cubiertos
799|3|Mesa|Cubertería|Set de Cubiertos
800|2|Mesa|Textiles para Mesa
801|3|Mesa|Textiles para Mesa|Camino de Mesa
802|3|Mesa|Textiles para Mesa|Cojines para Sillas
803|3|Mesa|Textiles para Mesa|Individuales
804|3|Mesa|Textiles para Mesa|Manteles
805|3|Mesa|Textiles para Mesa|Servilletas y Accesorios
806|2|Mesa|Vajillas
807|3|Mesa|Vajillas|Platos
808|3|Mesa|Vajillas|Platos Bowls
809|3|Mesa|Vajillas|Set de Vajillas
810|3|Mesa|Vajillas|Tazas, Pocillos y Porcelanas
811|2|Mesa|Vasos, Copas y Cristalería
812|3|Mesa|Vasos, Copas y Cristalería|Copas
813|3|Mesa|Vasos, Copas y Cristalería|Jarras
814|3|Mesa|Vasos, Copas y Cristalería|Picheles
815|3|Mesa|Vasos, Copas y Cristalería|Refresqueras
816|3|Mesa|Vasos, Copas y Cristalería|Tequileros
817|3|Mesa|Vasos, Copas y Cristalería|Vasos
1994|3|Mesa|Vasos, Copas y Cristalería|Poncheras
818|1|Iluminación
819|2|Iluminación|Bombillas
820|3|Iluminación|Bombillas|Accesorios de Iluminación
821|3|Iluminación|Bombillas|Bombillas Alta Potencia
822|3|Iluminación|Bombillas|Bombillas Circulares
823|3|Iluminación|Bombillas|Bombillas Decorativas
824|3|Iluminación|Bombillas|Bombillas Especiales
825|3|Iluminación|Bombillas|Fluorescente (CFL)
826|3|Iluminación|Bombillas|Halógenas
827|3|Iluminación|Bombillas|Incandescente
828|3|Iluminación|Bombillas|Led
829|2|Iluminación|Paneles Solares y Accesorios
830|3|Iluminación|Paneles Solares y Accesorios|Accesorios y Repuestos Paneles Solares
831|3|Iluminación|Paneles Solares y Accesorios|Paneles Solares
832|2|Iluminación|Ventiladores de Techo
833|2|Iluminación|Iluminación de Exterior
834|3|Iluminación|Iluminación de Exterior|Faroles
835|3|Iluminación|Iluminación de Exterior|Lámparas de Colgar
836|3|Iluminación|Iluminación de Exterior|Lámparas de Pared
837|3|Iluminación|Iluminación de Exterior|Lámparas de Pie
838|3|Iluminación|Iluminación de Exterior|Lámparas de Jardín
839|3|Iluminación|Iluminación de Exterior|Repuestos para Lámparas
840|2|Iluminación|Iluminación Institucional
841|3|Iluminación|Iluminación Institucional|Accesorios para Lámparas
842|3|Iluminación|Iluminación Institucional|Lámparas de Empotrar
843|3|Iluminación|Iluminación Institucional|Lámparas de Techo
844|3|Iluminación|Iluminación Institucional|Lámparas de Emergencia
845|3|Iluminación|Iluminación Institucional|Lámparas para Trabajo
846|3|Iluminación|Iluminación Institucional|Lámparas Perimetrales
847|2|Iluminación|Iluminación Inteligente
848|3|Iluminación|Iluminación Inteligente|Bombillas Inteligentes
849|3|Iluminación|Iluminación Inteligente|Timers y Controles Inteligentes
850|3|Iluminación|Iluminación Inteligente|Switch y Toma Corrientes
2026|3|Iluminación|Iluminación Inteligente|Accesorios De Iluminación Inteligente
851|2|Iluminación|Iluminación de Interior
852|3|Iluminación|Iluminación de Interior|Combos de Lámparas
853|3|Iluminación|Iluminación de Interior|Accesorios De Lámparas
854|3|Iluminación|Iluminación de Interior|Lámparas de Colgar
855|3|Iluminación|Iluminación de Interior|Lámparas de Escritorio
856|3|Iluminación|Iluminación de Interior|Lámparas de Gabinete
857|3|Iluminación|Iluminación de Interior|Lámparas de Mesa
858|3|Iluminación|Iluminación de Interior|Lámparas de Pared
859|3|Iluminación|Iluminación de Interior|Lámparas de Pie
860|3|Iluminación|Iluminación de Interior|Lámparas de Riel y Accesorios
861|3|Iluminación|Iluminación de Interior|Lámparas de Temporada
862|3|Iluminación|Iluminación de Interior|Lámparas Infantiles
863|3|Iluminación|Iluminación de Interior|Lámparas de Luz de Noche
864|3|Iluminación|Iluminación de Interior|Plafoneras y Sockets
865|3|Iluminación|Iluminación de Interior|Plafones
2036|3|Iluminación|Iluminación de Interior|Lámparas Germicidas
867|1|Herramientas
869|2|Herramientas|Herramientas Eléctricas
868|3|Herramientas|Herramientas Eléctricas|Barrenos
870|3|Herramientas|Herramientas Eléctricas|Cepillos
871|3|Herramientas|Herramientas Eléctricas|Compresores
872|3|Herramientas|Herramientas Eléctricas|Desarmadores
873|3|Herramientas|Herramientas Eléctricas|Esmeriladoras
874|3|Herramientas|Herramientas Eléctricas|Esmeriles
875|3|Herramientas|Herramientas Eléctricas|Herramienta Eléctrica Precisión
876|3|Herramientas|Herramientas Eléctricas|Lijadoras
877|3|Herramientas|Herramientas Eléctricas|Pistola Aire Caliente
878|3|Herramientas|Herramientas Eléctricas|Routers
879|3|Herramientas|Herramientas Eléctricas|Sierras
880|2|Herramientas|Generadores de Energía
881|2|Herramientas|Herramientas Manual para Cortar
882|3|Herramientas|Herramientas Manual para Cortar|Accesorios para Cortadores
